sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
25-220809,96732.98456980054,90341.07350427347,103125.6564330484,COV_S6289
25-220810,23633.157115923565,20058.648098513793,27609.6672,COV_S6290
25-220811,130330.80645962732,120949.9525300207,139712.78979710146,COV_S6291
25-220816,82746.79830088494,76492.07886725663,89002.22102654866,COV_S6292
25-220817,116222.9474624782,104134.5712809773,126335.33045724258,COV_S6293
25-220818,132611.7125366876,122966.22255765198,142258.3942,COV_S6294
25-220823,64628.71187767584,59066.62664220183,70191.33959633028,COV_S6295
25-220824,87040.64712663753,80606.79652983988,93519.7855,COV_S6296
25-220825,36067.44762756052,30234.668948975796,43147.113737057734,COV_S6297
25-220830,13320.12024242424,10170.20162644628,17062.49458071625,COV_S6298
25-220831,104504.6476044657,92025.5439106858,116031.95702711324,COV_S6299
25-220901,165965.3330211382,156644.49550569104,175287.5847804878,COV_S6300
25-220906,62278.45264578312,52527.14808032128,71898.54849799197,COV_S6301
25-220907,63860.360779999995,54157.44781333333,73004.2378,COV_S6302
25-220908,82875.27048366013,71621.70576034859,95565.85404793028,COV_S6303
25-220913,33999.51708249619,25292.31090167428,43437.124568645355,COV_S6304
25-220914,60665.431600644115,53094.97141384863,68060.55090499195,COV_S6305
25-220915,79061.16623638777,72063.49671181939,85904.24677822042,COV_S6306
25-220920,58368.96310877192,52183.46077192983,65025.64748070175,COV_S6307
25-220921,52886.53479822222,47180.54029511111,59035.58519466667,COV_S6308
25-220922,49827.897546666674,43595.29813333334,56190.78477333333,COV_S6309
25-220927,7271.525934883721,5435.117455503876,9481.654610852713,COV_S6310
25-220928,57818.971236036035,50909.81131531532,65087.39574774774,COV_S6311
25-220929,31124.19631007752,26817.009432558138,35870.14545736434,COV_S6312
25-221004,42145.21780399386,36040.222589247314,48685.15002887864,COV_S6313
25-221005,46784.973826737965,41939.58071,51990.45803351158,COV_S6314
25-221006,23530.706214814814,19544.37847407408,28001.498296296297,COV_S6315
25-221011,25467.93003700441,19645.54667606461,31801.307780323055,COV_S6316
25-221012,63509.22166507177,57687.61640829346,69331.38056778308,COV_S6317
25-221013,72850.53948717947,67091.49736349923,78610.17426244343,COV_S6318
25-221018,49593.68912,44843.681855270646,54344.112045584036,COV_S6319
25-221019,42914.11482,38255.547509392265,47936.80307,COV_S6320
25-221020,37469.83825376344,32191.830296774187,42898.23449892472,COV_S6321
25-221025,9224.848366169152,5631.167496915423,13348.55568557214,COV_S6322
25-221026,16867.66541359223,11222.91265760518,21884.401253074433,COV_S6323
25-221027,13393.519415873016,10403.457142857142,16908.43496296296,COV_S6324
25-221101,74137.21384,67166.28045,81254.97710691825,COV_S6325
25-221102,70913.54757142857,65051.300190476184,77512.97381,COV_S6326
25-221103,74257.52245045046,64091.34737297296,83422.72784144145,COV_S6327
25-221108,85472.4568,74100.07054673722,96154.24152380951,COV_S6328
25-221109,18215.62399583333,15493.777891666668,21239.161491666662,COV_S6329
25-221110,57663.98113939393,51316.53871515151,63272.94438787879,COV_S6330
25-221115,100091.70120082816,91892.29773913044,108718.14545755692,COV_S6331
25-221116,56489.47941,50045.40197530864,62694.60251851851,COV_S6332
25-221117,16448.732130413628,12245.492632603406,20298.16193868613,COV_S6333
25-221121,117394.52022018348,108283.65827522932,127967.18121100913,COV_S6334
25-221122,176849.28318279568,157379.78615053763,199354.1922580645,COV_S6335
25-221123,120627.61516666664,112362.86161111108,128893.40188888888,COV_S6336
25-221129,38921.05413212669,33859.885837707385,43553.632849472095,COV_S6337
25-221130,55028.91159760479,47082.56978522954,62773.588413572856,COV_S6338
25-221201,195677.68435474,178528.17032415903,213551.58253211007,COV_S6339
25-221206,0.0,0.0,0.0,COV_S6340
25-221207,482872.83283511264,438112.7045314353,532272.2482562277,COV_S6341
25-221208,303143.87775115203,291105.72450998466,315184.5389861751,COV_S6342
25-221213,475959.0497997644,456929.59660777386,497601.11717314494,COV_S6343
25-221214,669437.2926060605,606818.4284444442,755178.0622,COV_S6344
25-221215,612163.8458931859,584291.6303,640834.6324861879,COV_S6345
25-221220,195238.24486075947,181917.00010126585,205402.91614064696,COV_S6346
25-221221,246036.57337274225,215780.44920853857,278792.35777996713,COV_S6347
25-221222,901794.4337414966,861370.6144217687,943878.5893877548,COV_S6348
25-221228,134771.20349001535,120433.93042089096,148480.52227342548,COV_S6349
25-221229,147924.30053801168,139668.59293567252,156181.2462222222,COV_S6350
25-221230,746390.7609824562,704873.2021520467,785301.8777076023,COV_S6351
25-230103,285560.89044444443,270485.08325925923,300894.8785185185,COV_S6352
