sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
157-231103,495370.4881139319,453211.8570055728,536891.2228,COV_N12549
157-231106,183661.8484,164533.13850503528,204220.8911548235,COV_N12550
157-231108,75055.709,62033.42660571429,86252.68534881591,COV_N12551
157-231110,207254.45044197145,190766.98165723373,223743.5424254372,COV_N12552
157-231113,79047.67442464986,65090.25451070028,94066.54092683474,COV_N12553
157-231115,197252.55426718952,172608.1950891503,221918.38680052292,COV_N12554
157-231117,49110.93475789475,39143.67658699691,60313.07679578948,COV_N12555
157-231120,49180.625473494816,26944.685360830452,70164.90776,COV_N12556
157-231122,174538.81867818316,157258.78069992556,190406.78056887563,COV_N12557
157-231124,469331.86114863295,441868.4212997515,496799.58905318985,COV_N12558
157-231127,221136.87673017077,200693.80297836816,241582.02220872868,COV_N12559
157-231129,111247.11094885448,84662.78797117028,130769.23546551084,COV_N12560
157-231201,65180.674932109054,55871.47257365855,75471.39519472024,COV_N12561
157-231204,97889.11380754146,85420.82195113122,110237.2772762192,COV_N12562
157-231206,301099.96424156864,272305.8753286275,331886.82405647065,COV_N12563
157-231208,154855.05670517997,126231.3092599122,180234.76368182615,COV_N12564
157-231211,204999.5535936037,185642.2060646488,224083.76899143343,COV_N12565
157-231213,541421.1717487538,500291.4010097708,580195.5881,COV_N12566
157-231215,185502.4893865373,166383.33657343843,216016.01414481507,COV_N12567
157-231218,833443.8922285716,776111.8304268908,888162.2955809523,COV_N12568
157-231220,729341.4237480543,694280.1898,766648.2530200904,COV_N12569
157-231222,125640.70157022808,107875.45756734694,145375.61268283313,COV_N12570
157-231226,393666.1381270588,357386.3779069683,434050.07622081455,COV_N12571
157-231228,3959549.0512110735,3826042.6615363327,4093152.262532872,COV_N12572
157-231230,368375.62151364936,346174.47862204455,389199.22254802973,COV_N12573
157-240102,157207.5124879638,143499.98978171946,170403.57738570133,COV_N12574
157-240104,158751.9020684492,136828.2973197861,178868.87025240643,COV_N12575
157-240106,778295.4831786668,734179.8131701961,817154.3735190589,COV_N12576
157-240108,292535.95368668734,271694.9338773994,313379.5711851393,COV_N12577
157-240110,582794.1431676471,535344.7865588235,633837.2679705882,COV_N12578
157-240112,648519.1128974789,605528.4764436976,713917.1664907563,COV_N12579
157-240115,148558.94887058824,133665.0496164706,164522.03452810462,COV_N12580
157-240117,862710.0113,808979.1700419438,913008.102048082,COV_N12581
157-240119,465345.6379529413,428667.69952470594,504022.2639952941,COV_N12582
157-240122,435518.9307786097,411212.69578181824,462052.6481882354,COV_N12583
157-240124,335276.3268574833,301820.7228497394,372621.8058722264,COV_N12584
157-240126,5452260.096000001,4933776.855529413,5959210.923294119,COV_N12585
157-240129,1108211.967386891,951599.6634568066,1254125.0969331092,COV_N12586
157-240131,415561.63509516016,348405.7349432614,483941.05679821305,COV_N12587
157-240202,333325.78967503976,310803.21476629574,355851.3538848967,COV_N12588
157-240205,153226.3653215416,136694.02197322517,171042.56555034485,COV_N12589
157-240207,268055.84023703705,251069.7246082789,285044.4444409586,COV_N12590
157-240209,90088.14012141178,79245.80307105884,101872.0513,COV_N12591
157-240212,104330.73323563024,89514.23329310925,119577.96781243698,COV_N12592
157-240214,383720.6632571428,355200.73064201686,412244.20610756305,COV_N12593
157-240216,227498.0774111536,197399.97894698245,261806.6104103897,COV_N12594
157-240220,38436.82587545098,30659.20217756863,47432.05996737255,COV_N12595
157-240222,236074.69972866084,215608.77437797244,255674.2160500626,COV_N12596
39-220419,88583.70719337964,82158.29814743318,95648.58567191027,COV_N12597
39-220421,189191.0244968944,177699.3240248447,200684.41513871631,COV_N12598
39-220425,203811.6032973721,194194.0075463347,213430.97183955743,COV_N12599
39-220427,152389.86065727696,132122.4755680751,166701.1123881064,COV_N12600
39-220429,69323.75284981684,62714.307750915745,75933.8267,COV_N12601
39-220502,339060.9150015504,318332.66619534884,361376.0777922481,COV_N12602
39-220504,124200.91324200912,115920.85235920853,131993.91171993912,COV_N12603
39-220505,341609.1954022988,327816.092,354942.52873563214,COV_N12604
39-220508,429456.70427491405,408105.6470103093,453850.9722611683,COV_N12605
