sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
94-231003,975492011.2,952381320.5333337,998628268.8,PMMoV33170
94-231005,222774119.20346323,207364169.00432903,239602410.11255413,PMMoV33171
94-231008,142498282.3409669,135982709.49618322,149018281.3638677,PMMoV33172
94-231010,93018704.57250471,79071303.53295667,105624154.03389832,PMMoV33173
94-231012,376309068.44444454,366437615.2888889,386189812.53333336,PMMoV33174
94-231015,193375083.73333335,181716918.95384616,205038902.09230772,PMMoV33175
94-231017,421922449.8924731,368175974.1935485,471288898.4086023,PMMoV33176
94-231019,214732896.00000003,206905075.2927536,222566342.5855072,PMMoV33177
94-231022,546141818.0,529970855.1501832,570952407.7948719,PMMoV33178
94-231024,505832978.5982907,491050994.0512821,520628578.5982906,PMMoV33179
94-231026,505486061.76969695,487151322.7636363,523850319.61212134,PMMoV33180
94-231029,406902326.6,394913608.5333333,418901924.04210526,PMMoV33181
94-231031,506982666.0266666,483039672.8533334,537193196.5866668,PMMoV33182
94-231102,2539393294.897579,2276489030.3165736,2840399863.538175,PMMoV33183
94-231105,213306135.01234567,203901276.74074075,222718603.85185185,PMMoV33184
94-231107,654980883.9183674,639362859.4285713,670617883.4285713,PMMoV33185
94-231112,511845634.4,478344067.4553991,545358061.5211267,PMMoV33186
94-231114,146711828.22586522,133672017.31147544,159224157.5519126,PMMoV33187
94-231116,404955512.1777779,394486762.1333334,415434841.6000001,PMMoV33188
94-231119,244254246.67684475,202443549.47582695,284966093.6793893,PMMoV33189
94-231121,172916085.41798943,163510842.32804233,182930162.2010582,PMMoV33190
94-231123,358422180.39862543,312191195.71134025,408504693.22336775,PMMoV33191
94-231126,809894832.7868853,745145270.3825138,873020059.6284153,PMMoV33192
94-231128,220832037.4063927,155152565.62557077,276481983.7808219,PMMoV33193
94-231130,255998622.3238095,248233468.19047615,263770490.3619047,PMMoV33194
94-231203,240230139.53939396,167733542.6909091,317121434.08484846,PMMoV33195
94-231205,378806775.7,317254855.1489362,443668879.5460993,PMMoV33196
94-231207,178456517.9534884,146287785.0542636,210860803.8449613,PMMoV33197
94-231210,2241517437.429719,1808199595.1807232,2697119140.240964,PMMoV33198
94-231212,168610131.8590786,148722380.31436315,190775801.49593496,PMMoV33199
94-231214,179627669.74757284,162796395.80582523,197171899.4433657,PMMoV33200
94-231217,489523863.1794873,476366874.46153855,502695171.69230783,PMMoV33201
94-231219,262942117.41798937,250956492.0211641,274934928.0846561,PMMoV33202
94-231221,307738506.9,275368996.3174603,343214295.36507946,PMMoV33203
94-231224,261823753.12592593,230389562.5481482,293632812.4444444,PMMoV33204
94-231226,241866965.1079813,234096258.47887328,249644534.685446,PMMoV33205
94-231228,240687815.37254903,224634013.49019605,257974602.1960784,PMMoV33206
94-231231,333872078.3267974,294245721.2026144,374069313.5686275,PMMoV33207
94-240102,6868593750.044445,6508783854.222221,7278602431.999999,PMMoV33208
94-240104,203616327.70680627,154243818.10820246,251622107.8115183,PMMoV33209
94-240107,1218468079.8053527,1155819694.403893,1281803147.8345497,PMMoV33210
94-240109,146263339.76216215,141172919.75495496,151357586.85405403,PMMoV33211
94-240111,470317513.0453333,459115169.3,481532389.2906666,PMMoV33212
94-240114,152914578.2745098,134699099.6862745,172566312.94117644,PMMoV33213
94-240116,539992201.8,500829317.9780221,586193132.1904763,PMMoV33214
94-240118,244136895.0588236,235364547.45098045,252915505.7777778,PMMoV33215
94-240121,262353487.96371883,224379628.11791384,299596780.40816325,PMMoV33216
94-240123,228539751.1446541,220873486.03773585,236596103.89937103,PMMoV33217
94-240125,319718502.7692308,308540774.56410265,329978160.41025645,PMMoV33218
94-240128,680528985.9047619,648181370.2857144,714024788.9523808,PMMoV33219
94-240130,368535086.2222222,300032442.72401434,439944687.7132617,PMMoV33220
94-240201,879967396.0851064,599837672.3971632,1152620442.7801418,PMMoV33221
94-240204,590545387.0976431,576398835.3939395,604707762.8552189,PMMoV33222
94-240206,582865920.3047619,542301839.2380953,625096086.7047619,PMMoV33223
94-240208,539455876.4698412,525675727.0349207,553251991.8730158,PMMoV33224
94-240211,318558277.80392164,311047283.5,326078467.2941176,PMMoV33225
94-240213,172258325.46262628,148556734.3191919,196114945.87474743,PMMoV33226
94-240215,441318698.7677725,390845883.60189575,495808957.8262243,PMMoV33227
94-240218,734447861.9314642,716174734.8,752487572.4361371,PMMoV33228
94-240220,294028553.49593496,234553664.2601626,354918317.13821137,PMMoV33229
213-230321,393472909.2173913,371951161.2753623,417590907.0144927,PMMoV33230
213-230322,496750431.1578947,484459878.17543864,510073442.0584794,PMMoV33231
213-230328,339526648.5106383,297748776.73758864,381879830.9219858,PMMoV33232
213-230329,328630478.6,310895178.46540886,347475985.2075471,PMMoV33233
213-230404,232164526.0000001,216712729.16666663,250173298.50000003,PMMoV33234
213-230406,286096389.1851852,269019035.0370371,306415388.2962963,PMMoV33235
213-230411,436542426.24836606,424341338.87581706,448755640.7843138,PMMoV33236
213-230413,302996600.0987654,282837667.5555555,321722728.61234564,PMMoV33237
213-230418,446175477.1679587,433231261.10594314,459225455.9586563,PMMoV33238
213-230420,386689688.96969694,374592659.6363637,400342675.3939394,PMMoV33239
213-230424,297202786.0893471,287227292.4,307185935.28522336,PMMoV33240
213-230427,266787978.3050848,252998222.7344633,280777477.5141243,PMMoV33241
213-230504,252389995.2231884,198486487.37391305,317532941.2637681,PMMoV33242
213-230509,542555096.1702127,523965865.3049645,560486272.7,PMMoV33243
213-230510,289962652.49217004,267529651.9,311457022.4966443,PMMoV33244
213-230516,172159630.6010929,146596128.26229507,199500579.00182152,PMMoV33245
213-230518,175795396.6222222,162032430.0088889,189283420.2,PMMoV33246
213-230523,455292775.3927392,424673713.7425743,488396229.8085808,PMMoV33247
213-230524,289464228.61016953,278587229.19774014,300073207.6836158,PMMoV33248
213-230531,346708977.37931037,274908394.6666666,419245612.50574714,PMMoV33249
213-230601,407400697.6969697,391897213.1,422916759.1111111,PMMoV33250
213-230607,334359610.29702973,312524373.75577563,356306563.2739274,PMMoV33251
213-230608,203689575.19379845,190055764.3410853,217336137.1782946,PMMoV33252
213-230615,452261247.3256706,409010800.1839081,496281017.9923372,PMMoV33253
213-230620,319524443.6363637,309881018.4727273,329176025.40606064,PMMoV33254
213-230622,245313903.62790692,237242453.74677,253392087.97932816,PMMoV33255
213-230627,327714106.76729566,307963341.2830189,350334234.6666667,PMMoV33256
213-230628,312104949.4,283571370.4467354,338343585.53951895,PMMoV33257
213-230706,276187031.09480125,245018336.6850153,304241047.3883793,PMMoV33258
213-230711,162081486.60512823,155461206.64615384,168706305.06666666,PMMoV33259
213-230713,175419403.66951567,127548052.60398863,221265883.0769231,PMMoV33260
213-230718,257367280.51809525,247636928.0,267115606.36952385,PMMoV33261
213-230720,320085031.55162245,309827992.44837755,330351612.88495576,PMMoV33262
213-230725,294341903.0960452,272316539.3898305,318379857.98870057,PMMoV33263
213-230727,205607034.66666663,185151826.50505048,224886067.7171717,PMMoV33264
213-230801,236787349.81818184,228295639.4666667,245285348.55757573,PMMoV33265
213-230808,274293219.6143251,254352596.89256203,294885792.00000006,PMMoV33266
213-230809,329935868.1212122,318410845.3679654,341469002.5281386,PMMoV33267
