state_name,county_name,year,median_age,average_household_income,per_capita_income
 Alabama,Coffee County,2022,39.2,62199.0,31227.0
 Alabama,Colbert County,2022,42.0,56149.0,30724.0
 Alabama,Conecuh County,2022,46.2,39888.0,24426.0
 Alabama,Coosa County,2022,50.2,52279.0,28998.0
 Alabama,Covington County,2022,42.9,48772.0,28528.0
 Alabama,Crenshaw County,2022,42.3,48557.0,32396.0
 Alabama,Cullman County,2022,41.4,58119.0,29788.0
 Alabama,Dale County,2022,37.7,52813.0,28312.0
 Alabama,Dallas County,2022,40.4,37180.0,22798.0
 Alabama,DeKalb County,2022,39.6,47920.0,24915.0
 Alabama,Elmore County,2022,38.9,73258.0,34152.0
 Alabama,Escambia County,2022,40.5,41153.0,21758.0
 Alabama,Etowah County,2022,41.9,52177.0,28479.0
 Alabama,Fayette County,2022,43.7,45650.0,27053.0
 Alabama,Franklin County,2022,39.3,47359.0,24874.0
 Alabama,Geneva County,2022,43.6,47608.0,25644.0
 Alabama,Greene County,2022,41.1,32796.0,20862.0
 Alabama,Hale County,2022,40.5,35851.0,23690.0
 Alabama,Henry County,2022,44.6,58395.0,30273.0
 Alabama,Houston County,2022,40.4,55064.0,32126.0
 Alabama,Jackson County,2022,43.0,46748.0,27695.0
 Alabama,Jefferson County,2022,37.9,63595.0,38224.0
 Alabama,Lamar County,2022,44.2,49565.0,24794.0
 Alabama,Lauderdale County,2022,40.8,56081.0,32678.0
 Alabama,Lawrence County,2022,42.7,54786.0,29486.0
 Alabama,Lee County,2022,33.0,59288.0,33083.0
 Alabama,Limestone County,2022,40.2,80146.0,37504.0
 Alabama,Lowndes County,2022,41.7,33125.0,23415.0
 Alabama,Macon County,2022,37.8,41206.0,22449.0
 Alabama,Madison County,2022,38.5,78058.0,44720.0
 Alabama,Marengo County,2022,41.7,42975.0,27210.0
 Alabama,Marion County,2022,44.0,49743.0,25205.0
 Alabama,Marshall County,2022,38.8,58272.0,29509.0
 Alabama,Mobile County,2022,38.2,55352.0,30482.0
 Alabama,Monroe County,2022,43.7,39965.0,23090.0
 Alabama,Montgomery County,2022,36.9,56707.0,32769.0
 Alabama,Morgan County,2022,40.6,61588.0,33223.0
 Alabama,Perry County,2022,41.8,32332.0,16581.0
 Alabama,Pickens County,2022,42.9,45339.0,26912.0
 Alabama,Pike County,2022,31.1,42616.0,26685.0
 Alabama,Randolph County,2022,44.1,49879.0,27558.0
 Alabama,Russell County,2022,37.2,47420.0,25855.0
 Alabama,St. Clair County,2022,41.0,73218.0,33571.0
 Alabama,Shelby County,2022,40.0,90618.0,45701.0
 Alabama,Sumter County,2022,35.8,31726.0,19720.0
 Alabama,Talladega County,2022,42.1,52457.0,29236.0
 Alabama,Tallapoosa County,2022,45.2,53282.0,29682.0
 Alabama,Tuscaloosa County,2022,32.8,61645.0,32141.0
 Alabama,Walker County,2022,41.8,52987.0,28204.0
 Alabama,Washington County,2022,43.7,51184.0,29210.0
 Alabama,Wilcox County,2022,41.1,38208.0,20442.0
 Alabama,Winston County,2022,45.4,49494.0,26933.0
 Alaska,Aleutians West Census Area,2020,39.7,87443.0,44164.0
 Alaska,Anchorage Municipality,2020,33.9,84813.0,41127.0
 Alaska,Bristol Bay Borough,2020,44.8,79808.0,46950.0
 Alaska,Chugach Census Area,2020,39.2,90776.0,42592.0
 Alaska,Denali Borough,2020,43.8,76364.0,35873.0
 Alaska,Dillingham Census Area,2020,30.2,57436.0,26381.0
 Alaska,Haines Borough,2020,40.9,65014.0,30069.0
 Alaska,Hoonah-Angoon Census Area,2020,52.1,59926.0,37200.0
 Alaska,Kenai Peninsula Borough,2020,40.9,69245.0,35312.0
 Alaska,Ketchikan Gateway Borough,2020,40.0,74678.0,38343.0
 Alaska,Kusilvak Census Area,2020,24.1,37358.0,14109.0
 Alaska,Matanuska-Susitna Borough,2020,35.5,76118.0,31963.0
 Alaska,Nome Census Area,2020,28.4,62843.0,24613.0
 Alaska,Northwest Arctic Borough,2020,28.5,63750.0,25601.0
 Alaska,Petersburg Borough,2020,48.8,68667.0,34296.0
 Alaska,Sitka City and Borough,2020,39.1,81708.0,41082.0
 Alaska,Skagway Municipality,2020,40.9,71875.0,41842.0
 Alaska,Wrangell City and Borough,2020,47.8,58438.0,32159.0
